school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
Wakefield Elementary School,South Kingstown,0,Fewer than five,0,Fewer than five,in person,2021-01-27
West Kingston Elementary School,South Kingstown,0,Fewer than five,0,0,in person,2021-01-27
SouthSide Elementary Charter School,SouthSide Charter School,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-27
The Compass School,The Compass School,0,10 to 14,0,Fewer than five,in person,2021-01-27
The Greene School,The Greene School,0,5 to 9,0,Fewer than five,in person,2021-01-27
The Hope Academy,The Hope Academy,Fewer than five,10 to 14,Fewer than five,Fewer than five,in person,2021-01-27
Fort Barton School,Tiverton,Fewer than five,5 to 9,Fewer than five,Fewer than five,in person,2021-01-27
Pocasset School,Tiverton,Fewer than five,5 to 9,0,0,in person,2021-01-27
Tiverton High School,Tiverton,Fewer than five,15 to 19,Fewer than five,Fewer than five,in person,2021-01-27
Tiverton Middle School,Tiverton,Fewer than five,15 to 19,0,Fewer than five,in person,2021-01-27
Walter E. Ranger School,Tiverton,Fewer than five,5 to 9,0,0,in person,2021-01-27
Trinity Academy for the Performing Arts,Trinity Academy for the Performing Arts,0,0,0,Fewer than five,in person,2021-01-27
Urban Collaborative Accelerated Program,Urban Collaborative,0,5 to 9,0,Fewer than five,in person,2021-01-27
Village Green Virtual Charter School,Village Green Virtual,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Cedar Hill School,Warwick,0,5 to 9,0,5 to 9,in person,2021-01-27
Cottrell F. Hoxsie School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-27
E. G. Robertson School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-27
Greenwood School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-27
Harold F. Scott School,Warwick,0,Fewer than five,0,0,in person,2021-01-27
Holliman School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Lippitt School,Warwick,0,Fewer than five,0,0,in person,2021-01-27
Norwood School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Oakland Beach Elementary School,Warwick,0,Fewer than five,0,5 to 9,in person,2021-01-27
Park School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-27
Pilgrim High School,Warwick,0,Fewer than five,Fewer than five,Fewer than five,in person,2021-01-27
Sherman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-27
Toll Gate High School,Warwick,Fewer than five,15 to 19,0,Fewer than five,in person,2021-01-27
Warwick Area Career and Technical Center,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Warwick Early Learning Center at John Brown Francis,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Warwick Neck School,Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Warwick Veterans Middle School,Warwick,0,Fewer than five,Fewer than five,10 to 14,in person,2021-01-27
Westbay Community Action Children's Center,Warwick,0,0,0,Fewer than five,in person,2021-01-27
Winman Middle School,Warwick,0,0,Fewer than five,Fewer than five,in person,2021-01-27
Wyman School,Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-27
West Bay Collaborative,West Bay Collaborative,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Greenbush Elementary School,West Warwick,0,5 to 9,0,0,in person,2021-01-27
John F. Deering Middle School,West Warwick,Fewer than five,15 to 19,0,5 to 9,in person,2021-01-27
John F. Horgan Elementary School,West Warwick,0,5 to 9,0,Fewer than five,in person,2021-01-27
Maisie E. Quinn Elementary School,West Warwick,Fewer than five,Fewer than five,0,Fewer than five,in person,2021-01-27
Wakefield Hills Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,in person,2021-01-27
West Warwick Senior High School,West Warwick,Fewer than five,20 to 24,0,5 to 9,in person,2021-01-27
Dunn's Corners School,Westerly,Fewer than five,5 to 9,Fewer than five,Fewer than five,in person,2021-01-27
Springbrook Elementary School,Westerly,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-27
State Street School,Westerly,0,10 to 14,0,5 to 9,in person,2021-01-27
Westerly High School,Westerly,10 to 14,20 to 24,0,5 to 9,in person,2021-01-27
Westerly Inclusion Preschool Program - Babcock Hall,Westerly,0,Fewer than five,0,0,in person,2021-01-27
Westerly Middle School,Westerly,Fewer than five,20 to 24,Fewer than five,10 to 14,in person,2021-01-27
Bernon Heights School,Woonsocket,0,5 to 9,0,Fewer than five,in person,2021-01-27
Globe Park School,Woonsocket,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-27
Harris School,Woonsocket,0,5 to 9,0,Fewer than five,in person,2021-01-27
Kevin K. Coleman Elementary School,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Leo A. Savoie School,Woonsocket,Fewer than five,5 to 9,0,Fewer than five,in person,2021-01-27
Pothier-Citizens Elementary Campus,Woonsocket,Fewer than five,5 to 9,Fewer than five,5 to 9,in person,2021-01-27
Woonsocket Area Career and Technical Center,Woonsocket,Fewer than five,Fewer than five,0,0,in person,2021-01-27
Woonsocket High School,Woonsocket,0,Fewer than five,Fewer than five,10 to 14,in person,2021-01-27
Woonsocket Middle School at Hamlet,Woonsocket,Fewer than five,5 to 9,0,10 to 14,in person,2021-01-27
Woonsocket Middle School at Villa Nova,Woonsocket,0,Fewer than five,0,Fewer than five,in person,2021-01-27
Other*,,5 to 9,60 to 64,5 to 9,230 to 234,in person,2021-01-27
,Total:,285 to 289,3865 to 3869,105 to 109,1905 to 1909,in person,2021-01-27
AF Iluminar Mayoral Academy Middle School,Achievement First Rhode Island,0,Fewer than five,0,0,virtual,2021-01-27
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Achievement First Promesa Elementary,Achievement First Rhode Island,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,0,40 to 44,0,Fewer than five,virtual,2021-01-27
Barrington High School,Barrington,Fewer than five,40 to 44,0,Fewer than five,virtual,2021-01-27
Barrington Middle School,Barrington,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Hampden Meadows School,Barrington,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Nayatt School,Barrington,0,5 to 9,0,0,virtual,2021-01-27
Primrose Hill School,Barrington,0,Fewer than five,0,0,virtual,2021-01-27
Sowams Elementary School,Barrington,0,Fewer than five,0,0,virtual,2021-01-27
BEACON Charter School,Beacon Charter School,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Founders Academy,Beacon Charter School,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Blackstone Academy Charter School,Blackstone Academy,Fewer than five,25 to 29,0,0,virtual,2021-01-27
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,Fewer than five,virtual,2021-01-27
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",0,10 to 14,0,0,virtual,2021-01-27
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,25 to 29,0,Fewer than five,virtual,2021-01-27
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",0,30 to 34,Fewer than five,Fewer than five,virtual,2021-01-27
Blackstone Valley Prep Junior High School (JHS),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,5 to 9,0,0,virtual,2021-01-27
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Colt Andrews School,Bristol Warren,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Guiteras School,Bristol Warren,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Hugh Cole School,Bristol Warren,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Kickemuit Middle School,Bristol Warren,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Mt. Hope High School,Bristol Warren,0,40 to 44,0,Fewer than five,virtual,2021-01-27
Rockwell School,Bristol Warren,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Austin T. Levy School,Burrillville,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Burrillville High School,Burrillville,Fewer than five,25 to 29,0,0,virtual,2021-01-27
Burrillville Middle School,Burrillville,Fewer than five,15 to 19,0,0,virtual,2021-01-27
Steere Farm Elementary School,Burrillville,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
William L. Callahan School,Burrillville,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Bishop Hendricken High School,Catholic Schools,5 to 9,50 to 54,0,Fewer than five,virtual,2021-01-27
Bishop McVinney Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
Father John V. Doyle School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
Good Shepherd Catholic Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
Immaculate Conception Catholic Regional,Catholic Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
La Salle Academy,Catholic Schools,5 to 9,40 to 44,0,Fewer than five,virtual,2021-01-27
Mount St. Charles Academy,Catholic Schools,0,10 to 14,0,0,virtual,2021-01-27
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
Our Lady of Mt. Carmel,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
Sacred Heart School,Catholic Schools,0,5 to 9,Fewer than five,Fewer than five,virtual,2021-01-27
St. Kevin School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Luke School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Margaret School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Mary Academy-Bay View,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
St. Mary School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Patrick School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Paul School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Peter School,Catholic Schools,0,5 to 9,0,0,virtual,2021-01-27
St. Philip School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Philomena School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Pius V School,Catholic Schools,0,5 to 9,0,0,virtual,2021-01-27
St. Raphael Academy,Catholic Schools,Fewer than five,5 to 9,0,0,virtual,2021-01-27
St. Rocco School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Rose of Lima School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Teresa School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Thomas Regional School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
The Prout School,Catholic Schools,0,Fewer than five,0,0,virtual,2021-01-27
Captain G. Harold Hunt Elementary School,Central Falls,0,Fewer than five,0,0,virtual,2021-01-27
Central Falls Senior High School,Central Falls,0,50 to 54,0,Fewer than five,virtual,2021-01-27
Dr. Earl F. Calcutt Middle School,Central Falls,Fewer than five,30 to 34,0,Fewer than five,virtual,2021-01-27
Ella Risk School,Central Falls,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Raices Dual Language Academy at Margaret I. Robertson School,Central Falls,0,10 to 14,0,0,virtual,2021-01-27
Veterans Memorial Elementary,Central Falls,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Charette Charter School,Charette Charter,Fewer than five,15 to 19,0,0,virtual,2021-01-27
Ashaway Elementary School,Chariho,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Chariho Area Career and Technical Center,Chariho,0,Fewer than five,0,0,virtual,2021-01-27
Chariho Regional High School,Chariho,Fewer than five,25 to 29,0,0,virtual,2021-01-27
Chariho Regional Middle School,Chariho,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Charlestown Elementary School,Chariho,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Hope Valley Elementary School,Chariho,Fewer than five,Fewer than five,0,Fewer than five,virtual,2021-01-27
Richmond Elementary School,Chariho,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Alan Shawn Feinstein Middle School Of Coventry,Coventry,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
Blackrock School,Coventry,0,5 to 9,0,0,virtual,2021-01-27
Coventry High School,Coventry,Fewer than five,45 to 49,Fewer than five,5 to 9,virtual,2021-01-27
Hopkins Hill School,Coventry,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Tiogue School,Coventry,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Washington Oak School,Coventry,0,10 to 14,0,0,virtual,2021-01-27
Western Coventry School,Coventry,0,Fewer than five,Fewer than five,Fewer than five,virtual,2021-01-27
Arlington School,Cranston,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Cranston High School East,Cranston,Fewer than five,100 to 104,0,5 to 9,virtual,2021-01-27
Cranston High School West,Cranston,Fewer than five,90 to 94,0,Fewer than five,virtual,2021-01-27
Cranston Transition Program(CTP),Cranston,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Daniel D. Waterman School,Cranston,0,5 to 9,0,0,virtual,2021-01-27
Eden Park School,Cranston,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Edgewood Highland School,Cranston,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Edward S. Rhodes School,Cranston,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Garden City School,Cranston,0,5 to 9,0,0,virtual,2021-01-27
George J. Peters School,Cranston,0,5 to 9,0,0,virtual,2021-01-27
Gladstone Street School,Cranston,0,15 to 19,0,Fewer than five,virtual,2021-01-27
Glen Hills School,Cranston,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Hope Highlands Middle School,Cranston,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Hugh B. Bain Middle School,Cranston,Fewer than five,20 to 24,0,5 to 9,virtual,2021-01-27
NEL/CPS Construction Career Academy,Cranston,0,Fewer than five,0,0,virtual,2021-01-27
Oak Lawn School,Cranston,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Orchard Farms Elementary School,Cranston,0,10 to 14,0,0,virtual,2021-01-27
Park View Middle School,Cranston,Fewer than five,30 to 34,0,Fewer than five,virtual,2021-01-27
Stadium Elementary School,Cranston,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Stone Hill School,Cranston,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Western Hills Middle School,Cranston,Fewer than five,30 to 34,0,Fewer than five,virtual,2021-01-27
William R. Dutemple School,Cranston,0,Fewer than five,0,0,virtual,2021-01-27
Woodridge School,Cranston,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Ashton School,Cumberland,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
B.F. Norton Elementary School,Cumberland,0,5 to 9,0,0,virtual,2021-01-27
Community School,Cumberland,0,10 to 14,0,0,virtual,2021-01-27
Cumberland High School,Cumberland,5 to 9,45 to 49,0,Fewer than five,virtual,2021-01-27
Garvin Memorial School,Cumberland,Fewer than five,10 to 14,0,0,virtual,2021-01-27
John J. McLaughlin Cumberland Hill School,Cumberland,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Joseph L. McCourt Middle School,Cumberland,Fewer than five,10 to 14,0,0,virtual,2021-01-27
North Cumberland Middle School,Cumberland,0,5 to 9,0,0,virtual,2021-01-27
Wm. M. Davies Jr. Career-Technical High School,Davies Career and Tech,0,10 to 14,0,0,virtual,2021-01-27
Archie R. Cole Middle School,East Greenwich,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
East Greenwich High School,East Greenwich,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Frenchtown School,East Greenwich,0,Fewer than five,0,0,virtual,2021-01-27
George Hanaford School,East Greenwich,0,Fewer than five,0,0,virtual,2021-01-27
Meadowbrook Farms School,East Greenwich,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Agnes B. Hennessey School,East Providence,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Alice M. Waddington School,East Providence,Fewer than five,Fewer than five,0,Fewer than five,virtual,2021-01-27
East Providence High School,East Providence,Fewer than five,65 to 69,0,5 to 9,virtual,2021-01-27
Edward R. Martin Middle School,East Providence,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Edward R. Martin Middle School Annex,East Providence,0,Fewer than five,0,0,virtual,2021-01-27
Emma G. Whiteknact School,East Providence,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Kent Heights School,East Providence,0,5 to 9,0,0,virtual,2021-01-27
Myron J. Francis Elementary School,East Providence,0,5 to 9,0,0,virtual,2021-01-27
Orlo Avenue School,East Providence,0,5 to 9,0,0,virtual,2021-01-27
Riverside Middle School,East Providence,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Silver Spring School,East Providence,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Exeter-West Greenwich Regional High School,Exeter-West Greenwich,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Exeter-West Greenwich Regional Junior High,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-01-27
Metcalf School,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-01-27
Wawaloam School,Exeter-West Greenwich,0,Fewer than five,0,0,virtual,2021-01-27
Captain Isaac Paine Elementary School,Foster,0,Fewer than five,Fewer than five,Fewer than five,virtual,2021-01-27
Ponaganset High School,Foster-Glocester,5 to 9,25 to 29,0,Fewer than five,virtual,2021-01-27
Ponaganset Middle School,Foster-Glocester,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Fogarty Memorial School,Glocester,0,5 to 9,0,0,virtual,2021-01-27
West Glocester Elementary,Glocester,0,Fewer than five,0,0,virtual,2021-01-27
Highlander Elementary Charter School,Highlander,0,15 to 19,0,Fewer than five,virtual,2021-01-27
Highlander Secondary Charter School,Highlander,Fewer than five,25 to 29,0,0,virtual,2021-01-27
International Charter School,International Charter,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Jamestown School-Lawn,Jamestown,0,Fewer than five,0,0,virtual,2021-01-27
Jamestown School-Melrose,Jamestown,0,Fewer than five,0,0,virtual,2021-01-27
Brown Avenue School,Johnston,0,5 to 9,0,0,virtual,2021-01-27
Early Childhood Center,Johnston,0,Fewer than five,0,0,virtual,2021-01-27
Graniteville School,Johnston,0,0,0,Fewer than five,virtual,2021-01-27
Johnston Senior High School,Johnston,0,40 to 44,0,Fewer than five,virtual,2021-01-27
Nicholas A. Ferri Middle School,Johnston,0,15 to 19,0,0,virtual,2021-01-27
Sarah Dyer Barnes School,Johnston,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Thornton School,Johnston,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Winsor Hill School,Johnston,Fewer than five,5 to 9,0,0,virtual,2021-01-27
The Learning Community Charter School,Learning Community,Fewer than five,35 to 39,0,5 to 9,virtual,2021-01-27
Lincoln Central Elementary School,Lincoln,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Lincoln Middle School,Lincoln,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Lincoln Senior High School,Lincoln,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-01-27
Lonsdale Elementary School,Lincoln,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Northern Lincoln Elementary School,Lincoln,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Saylesville Elementary School,Lincoln,0,5 to 9,0,0,virtual,2021-01-27
Metropolitan Regional Career and Technical Center,MET Career and Tech,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-01-27
Forest Avenue School,Middletown,0,0,0,Fewer than five,virtual,2021-01-27
Joseph H. Gaudet Middle School,Middletown,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Middletown High School,Middletown,0,20 to 24,Fewer than five,Fewer than five,virtual,2021-01-27
Narragansett Elementary School,Narragansett,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Narragansett High School,Narragansett,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Narragansett Pier School,Narragansett,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Block Island School,New Shoreham,0,Fewer than five,0,0,virtual,2021-01-27
Claiborne Pell Elementary School,Newport,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Frank E. Thompson Middle School,Newport,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Rogers High School,Newport,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Davisville Academy,North Kingstown,0,Fewer than five,0,0,virtual,2021-01-27
Davisville Middle School,North Kingstown,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Fishing Cove Elementary School,North Kingstown,0,Fewer than five,0,0,virtual,2021-01-27
Forest Park Elementary School,North Kingstown,0,Fewer than five,0,0,virtual,2021-01-27
Hamilton Elementary School,North Kingstown,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
North Kingstown Senior High School,North Kingstown,0,25 to 29,0,0,virtual,2021-01-27
Stony Lane Elementary School,North Kingstown,0,Fewer than five,0,0,virtual,2021-01-27
Wickford Middle School,North Kingstown,0,Fewer than five,0,0,virtual,2021-01-27
Birchwood Middle School,North Providence,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Centredale School,North Providence,0,5 to 9,0,0,virtual,2021-01-27
Dr. Edward A. Ricci Middle School,North Providence,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Dr. Joseph A Whelan Elementary School,North Providence,0,Fewer than five,0,0,virtual,2021-01-27
Greystone School,North Providence,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
James L. McGuire School,North Providence,0,5 to 9,0,0,virtual,2021-01-27
North Providence High School,North Providence,5 to 9,35 to 39,0,0,virtual,2021-01-27
Stephen Olney School,North Providence,0,5 to 9,0,0,virtual,2021-01-27
North Smithfield Elementary School,North Smithfield,Fewer than five,5 to 9,0,0,virtual,2021-01-27
North Smithfield High School,North Smithfield,Fewer than five,10 to 14,0,0,virtual,2021-01-27
North Smithfield Middle School,North Smithfield,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Northern RI Collaborative,Northern RI Collaborative,0,0,0,Fewer than five,virtual,2021-01-27
Paul Cuffee Lower School,Paul Cuffee Charter Sch,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Paul Cuffee Middle School,Paul Cuffee Charter Sch,0,5 to 9,0,0,virtual,2021-01-27
Paul Cuffee Upper School,Paul Cuffee Charter Sch,0,15 to 19,0,0,virtual,2021-01-27
Agnes E. Little School,Pawtucket,0,5 to 9,0,0,virtual,2021-01-27
Charles E. Shea High School,Pawtucket,Fewer than five,55 to 59,Fewer than five,5 to 9,virtual,2021-01-27
Curvin-McCabe School,Pawtucket,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Elizabeth Baldwin School,Pawtucket,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Fallon Memorial School,Pawtucket,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Flora S. Curtis Memorial School,Pawtucket,0,5 to 9,0,0,virtual,2021-01-27
Francis J. Varieur School,Pawtucket,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Henry J. Winters School,Pawtucket,Fewer than five,15 to 19,0,0,virtual,2021-01-27
Jacqueline M. Walsh School for the Performing and Visual Arts,Pawtucket,Fewer than five,15 to 19,0,0,virtual,2021-01-27
Joseph Jenks Middle School,Pawtucket,Fewer than five,35 to 39,0,5 to 9,virtual,2021-01-27
Lyman B. Goff Middle School,Pawtucket,Fewer than five,30 to 34,0,Fewer than five,virtual,2021-01-27
M. Virginia Cunningham School,Pawtucket,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Nathanael Greene Elementary School (Pawtucket),Pawtucket,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Potter-Burns School,Pawtucket,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Rhode Island Alternative Academy,Pawtucket,Fewer than five,Fewer than five,0,Fewer than five,virtual,2021-01-27
Samuel Slater Middle School,Pawtucket,5 to 9,35 to 39,0,0,virtual,2021-01-27
William E Tolman Senior High School,Pawtucket,Fewer than five,45 to 49,Fewer than five,Fewer than five,virtual,2021-01-27
Howard Hathaway School,Portsmouth,0,5 to 9,0,0,virtual,2021-01-27
Melville Elementary School,Portsmouth,0,Fewer than five,0,0,virtual,2021-01-27
Portsmouth High School,Portsmouth,0,25 to 29,0,0,virtual,2021-01-27
Portsmouth Middle School,Portsmouth,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Bradley School North,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
"CHILD, Inc., Centerville Road",Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
Community Preparatory School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Cornerstone School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Day Spring Christian Academy,Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
East Side Nursery School,Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
Greenville Nursery School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Harmony Hill School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Henry Barnard School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Kid's Kingdom,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Lincoln School,Private Schools,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Meeting Street School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Middlebridge School,Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
Montessori Centre of Barrington,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Moses Brown School,Private Schools,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Mount Pleasant Academy,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Ocean State Academy,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Ocean State Montessori School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Pathways Strategic Teaching Center(Coventry),Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
Pathways Strategic Teaching Center(Warwick),Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
Portsmouth Abbey School,Private Schools,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Providence Country Day School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Rocky Hill School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
San Miguel School,Private Schools,0,5 to 9,0,0,virtual,2021-01-27
Sargent Rehabilitation Center,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
School One,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
Sophia Academy,Private Schools,0,5 to 9,0,Fewer than five,virtual,2021-01-27
St. Andrew's School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
St. George's School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Mary's Home for Children/George N. Hunt Campus School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
St. Michael's Country Day School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
St. Patrick's School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
The Bradley School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
The Croft School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
The French-American School of RI,Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
The Genesis Daycare Center,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
The Gordon School,Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
