"Notes"	"Month"	"Month Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"Jun., 2018"	"2018/06"	"Renal failure (N17-N19)"	"GR113-100"	12	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"All other diseases (Residual) "	"GR113-111"	122	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	68	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	61	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Falls (W00-W19)"	"GR113-118"	24	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	32	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	10	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Septicemia (A40-A41)"	"GR113-010"	10	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	197	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	15	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	21	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	45	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Malignant neoplasm of breast (C50)"	"GR113-029"	10	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	13	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	27	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	10	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	22	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Alzheimer disease (G30)"	"GR113-052"	34	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	225	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	185	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Hypertensive heart disease (I11)"	"GR113-056"	21	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	111	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	26	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	84	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	36	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	48	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Other heart diseases (I26-I51)"	"GR113-064"	49	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Heart failure (I50)"	"GR113-067"	14	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	35	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	24	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	16	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Pneumonia (J12-J18)"	"GR113-078"	16	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	39	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	37	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	11	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"All other diseases (Residual) "	"GR113-111"	105	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	51	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	47	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Falls (W00-W19)"	"GR113-118"	20	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	21	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	11	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Septicemia (A40-A41)"	"GR113-010"	11	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	193	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	15	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	13	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	12	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	50	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	11	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	22	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Leukemia (C91-C95)"	"GR113-040"	12	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	26	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	10	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	15	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Parkinson disease (G20-G21)"	"GR113-051"	15	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Alzheimer disease (G30)"	"GR113-052"	29	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	207	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	170	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Hypertensive heart disease (I11)"	"GR113-056"	15	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	102	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	19	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	83	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	35	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	48	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Other heart diseases (I26-I51)"	"GR113-064"	50	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Heart failure (I50)"	"GR113-067"	15	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	31	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	25	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	10	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	16	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Pneumonia (J12-J18)"	"GR113-078"	15	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	28	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	26	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	15	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Alcoholic liver disease (K70)"	"GR113-094"	13	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"All other diseases (Residual) "	"GR113-111"	122	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	54	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	50	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Falls (W00-W19)"	"GR113-118"	14	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	27	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Septicemia (A40-A41)"	"GR113-010"	15	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	178	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	11	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	20	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	44	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Malignant neoplasm of breast (C50)"	"GR113-029"	12	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	18	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	21	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	20	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Alzheimer disease (G30)"	"GR113-052"	34	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	231	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	187	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Hypertensive heart disease (I11)"	"GR113-056"	12	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	122	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	28	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	92	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	45	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	47	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Other heart diseases (I26-I51)"	"GR113-064"	52	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Heart failure (I50)"	"GR113-067"	22	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	28	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	30	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	37	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	34	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	11	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	12	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Renal failure (N17-N19)"	"GR113-100"	12	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"All other diseases (Residual) "	"GR113-111"	131	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	63	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	55	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Falls (W00-W19)"	"GR113-118"	19	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	28	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	12	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	11	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	194	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	12	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	16	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	13	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	42	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Malignant neoplasm of breast (C50)"	"GR113-029"	11	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	15	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	14	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	29	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	27	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Alzheimer disease (G30)"	"GR113-052"	39	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	249	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	207	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Hypertensive heart disease (I11)"	"GR113-056"	17	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	131	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	27	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	104	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	39	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	65	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Other heart diseases (I26-I51)"	"GR113-064"	57	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Heart failure (I50)"	"GR113-067"	21	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	36	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	28	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	26	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	26	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	10	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	22	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Alcoholic liver disease (K70)"	"GR113-094"	15	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Renal failure (N17-N19)"	"GR113-100"	10	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"All other diseases (Residual) "	"GR113-111"	145	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	61	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	53	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Falls (W00-W19)"	"GR113-118"	16	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	31	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	10	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Septicemia (A40-A41)"	"GR113-010"	13	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	151	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	19	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	37	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Malignant neoplasm of breast (C50)"	"GR113-029"	15	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	17	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	14	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	12	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Parkinson disease (G20-G21)"	"GR113-051"	10	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Alzheimer disease (G30)"	"GR113-052"	35	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	251	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	204	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Hypertensive heart disease (I11)"	"GR113-056"	15	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	134	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	32	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	101	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	40	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	61	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Other heart diseases (I26-I51)"	"GR113-064"	50	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Heart failure (I50)"	"GR113-067"	17	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	33	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	35	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	10	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	42	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	35	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	18	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Alcoholic liver disease (K70)"	"GR113-094"	10	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	12	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Renal failure (N17-N19)"	"GR113-100"	10	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"All other diseases (Residual) "	"GR113-111"	120	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	62	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	57	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Falls (W00-W19)"	"GR113-118"	23	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	28	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	203	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	19	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	11	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	19	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	46	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasm of breast (C50)"	"GR113-029"	13	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	10	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	13	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	14	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	24	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	23	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Alzheimer disease (G30)"	"GR113-052"	47	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	265	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	212	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Hypertensive heart disease (I11)"	"GR113-056"	16	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	137	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	34	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	100	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	37	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	63	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Other heart diseases (I26-I51)"	"GR113-064"	56	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"Heart failure (I50)"	"GR113-067"	24	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	32	Not Applicable	Not Applicable
